Username,comment,sentimen,label_int,skor,alasan
latif,bisa aja ngeles yaa 😂,negative,0,-1.25,neg=['berkilah'] pos=[] emoji=-0.5
kangyana295,tolong di usut yang mengedit vidio.. tangkap aja.,neutral,1,0.0,(tidak ada sinyal sentimen)
',"liat itu real
liat aja mulut nya",neutral,1,0.0,(tidak ada sinyal sentimen)
WT,video asli bru muncul setelah beliau mengundurkan diri dr jabatannya 🤦‍♀️,neutral,1,0.0,(tidak ada sinyal sentimen)
𝙆𝙞𝙣𝙜 𝙢𝙖𝙘👑,hoak nya di mana AI maksud nya gua yg suka bikin vidio AI tau kali😭😭😭,neutral,1,0.0,(tidak ada sinyal sentimen)
Acaaa🌏🪐🪼🌊🌘🌙💫,Lah sri mulyani pintar kan Karna guru,positive,2,1.0,neg=[] pos=['pintar'] emoji=0.0
badshah,tebak umur kreator,neutral,1,0.0,(tidak ada sinyal sentimen)
ang ang ang fs,"mulyani ""m"" nya ap?",neutral,1,0.0,(tidak ada sinyal sentimen)
𝙆𝙮𝙕𝙤 𝟳𝟳𝟳,yang IA yang mana?😅,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
RUNGKAT,Tampa guru nggak mungkin ibu jd begini,neutral,1,0.0,(tidak ada sinyal sentimen)
r3sk1_138,ai gak sih soalnya langsung matanya ke kamera gitu?,neutral,1,0.0,(tidak ada sinyal sentimen)
dee🌊,AI A*J😌😌,neutral,1,0.0,(tidak ada sinyal sentimen)
rizqypriamahal,di bayar berapa min??,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
surmin iwanto,maling itu beban siapa bu,negative,0,-3.0,"neg=['maling', 'beban'] pos=[] emoji=0.0"
adnan +_+,"guru sudah mengajarkan anda tapi apa
balasan nya coba",neutral,1,0.0,(tidak ada sinyal sentimen)
anihanipahh24,Sri Mulyani mahluk apa nya nanya,neutral,1,0.0,(tidak ada sinyal sentimen)
Achmad Baedowi,kasian ...ibu mulyani adalah aset negara...orang pintar ini di akui dunia,positive,2,2.0,"neg=[] pos=['kasian', 'pintar'] emoji=0.0"
#kata story,aduh dibayar berapa min,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
️,bocil fomo pada percaya AI 😹,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
アクタル🤭,emg lu dulu belajar gk diajar guru😂😂,negative,0,-0.5,neg=[] pos=[] emoji=-1.0
Beiby90,"Cerdas lah dlm bermain Sosmed .. pke logika apa iya Ibu secerdas ini ngmg kayak gitu . Melukai hati rakyat khususnya guru ,,tapi nitizen percaya ,, sy dri awal ga percaya Ibu ngmg gitu",positive,2,2.0,neg=[] pos=['cerdas'] emoji=0.0
KHolidi gawoh77,APARAT KEPOLISIAN TLNG DI USUT YG MENGEDIT UCAPAN IBU SRI MULYANI.. HARUS DI TINDAK BIAR KAPOK,neutral,1,0.0,(tidak ada sinyal sentimen)
🚀Manzz joxx🚀,hadeh negara koruptor gini amat 😹,negative,0,-2.25,neg=['koruptor'] pos=[] emoji=-0.5
